"","rank","discipline","yrs.since.phd","yrs.service","sex","salary","patient_id"
"268","Prof","A",14,10,"Male",104350,268
"269","Prof","A",47,44,"Male",89650,269
"270","Prof","A",13,7,"Male",103700,270
"271","Prof","A",42,40,"Male",143250,271
"272","Prof","A",42,18,"Male",194800,272
"273","AsstProf","A",4,1,"Male",73000,273
"274","AsstProf","A",8,4,"Male",74000,274
"275","AsstProf","A",8,3,"Female",78500,275
"276","Prof","A",12,6,"Male",93000,276
"277","Prof","A",52,48,"Male",107200,277
"278","Prof","A",31,27,"Male",163200,278
"279","Prof","A",24,18,"Male",107100,279
"280","Prof","A",46,46,"Male",100600,280
"281","Prof","A",39,38,"Male",136500,281
"282","Prof","A",37,27,"Male",103600,282
"283","Prof","A",51,51,"Male",57800,283
"284","Prof","A",45,43,"Male",155865,284
"285","AssocProf","A",8,6,"Male",88650,285
"286","AssocProf","A",49,49,"Male",81800,286
"287","Prof","A",28,27,"Male",115800,287
"288","AsstProf","A",2,0,"Male",85000,288
"289","Prof","A",29,27,"Male",150500,289
"290","AsstProf","A",8,5,"Male",74000,290
"291","Prof","A",33,7,"Male",174500,291
"292","Prof","A",32,28,"Male",168500,292
"293","Prof","A",39,9,"Male",183800,293
"294","AssocProf","A",11,1,"Male",104800,294
"295","Prof","A",19,7,"Male",107300,295
"296","Prof","A",40,36,"Male",97150,296
"297","Prof","A",18,18,"Male",126300,297
"298","Prof","A",17,11,"Male",148800,298
"299","Prof","A",49,43,"Male",72300,299
"300","AssocProf","A",45,39,"Male",70700,300
"301","Prof","A",39,36,"Male",88600,301
"302","Prof","A",27,16,"Male",127100,302
"303","Prof","A",28,13,"Male",170500,303
"304","Prof","A",14,4,"Male",105260,304
"305","Prof","A",46,44,"Male",144050,305
"306","Prof","A",33,31,"Male",111350,306
"307","AsstProf","A",7,4,"Male",74500,307
"308","Prof","A",31,28,"Male",122500,308
"309","AsstProf","A",5,0,"Male",74000,309
"310","Prof","A",22,15,"Male",166800,310
"311","Prof","A",20,7,"Male",92050,311
"312","Prof","A",14,9,"Male",108100,312
"313","Prof","A",29,19,"Male",94350,313
"314","Prof","A",35,35,"Male",100351,314
"315","Prof","A",22,6,"Male",146800,315
"316","AsstProf","B",6,3,"Male",84716,316
"317","AssocProf","B",12,9,"Female",71065,317
"318","Prof","B",46,45,"Male",67559,318
"319","Prof","B",16,16,"Male",134550,319
"320","Prof","B",16,15,"Male",135027,320
"321","Prof","B",24,23,"Male",104428,321
"322","AssocProf","B",9,9,"Male",95642,322
"323","AssocProf","B",13,11,"Male",126431,323
"324","Prof","B",24,15,"Female",161101,324
"325","Prof","B",30,31,"Male",162221,325
"326","AsstProf","B",8,4,"Male",84500,326
"327","Prof","B",23,15,"Male",124714,327
"328","Prof","B",37,37,"Male",151650,328
"329","AssocProf","B",10,10,"Male",99247,329
"330","Prof","B",23,23,"Male",134778,330
"331","Prof","B",49,60,"Male",192253,331
"332","Prof","B",20,9,"Male",116518,332
"333","Prof","B",18,10,"Female",105450,333
"334","Prof","B",33,19,"Male",145098,334
"335","AssocProf","B",19,6,"Female",104542,335
"336","Prof","B",36,38,"Male",151445,336
"337","Prof","B",35,23,"Male",98053,337
"338","Prof","B",13,12,"Male",145000,338
"339","Prof","B",32,25,"Male",128464,339
"340","Prof","B",37,15,"Male",137317,340
"341","Prof","B",13,11,"Male",106231,341
"342","Prof","B",17,17,"Female",124312,342
"343","Prof","B",38,38,"Male",114596,343
"344","Prof","B",31,31,"Male",162150,344
"345","Prof","B",32,35,"Male",150376,345
"346","Prof","B",15,10,"Male",107986,346
"347","Prof","B",41,27,"Male",142023,347
"348","Prof","B",39,33,"Male",128250,348
"349","AsstProf","B",4,3,"Male",80139,349
"350","Prof","B",27,28,"Male",144309,350
"351","Prof","B",56,49,"Male",186960,351
"352","Prof","B",38,38,"Male",93519,352
"353","Prof","B",26,27,"Male",142500,353
"354","Prof","B",22,20,"Male",138000,354
"355","AsstProf","B",8,1,"Male",83600,355
"356","Prof","B",25,21,"Male",145028,356
"357","Prof","A",49,40,"Male",88709,357
"358","Prof","A",39,35,"Male",107309,358
"359","Prof","A",28,14,"Female",109954,359
"360","AsstProf","A",11,4,"Male",78785,360
"361","Prof","A",14,11,"Male",121946,361
"362","Prof","A",23,15,"Female",109646,362
"363","Prof","A",30,30,"Male",138771,363
"364","AssocProf","A",20,17,"Male",81285,364
"365","Prof","A",43,43,"Male",205500,365
"366","Prof","A",43,40,"Male",101036,366
"367","Prof","A",15,10,"Male",115435,367
"368","AssocProf","A",10,1,"Male",108413,368
"369","Prof","A",35,30,"Male",131950,369
"370","Prof","A",33,31,"Male",134690,370
"371","AssocProf","A",13,8,"Male",78182,371
"372","Prof","A",23,20,"Male",110515,372
"373","Prof","A",12,7,"Male",109707,373
"374","Prof","A",30,26,"Male",136660,374
"375","Prof","A",27,19,"Male",103275,375
"376","Prof","A",28,26,"Male",103649,376
"377","AsstProf","A",4,1,"Male",74856,377
"378","AsstProf","A",6,3,"Male",77081,378
"379","Prof","A",38,38,"Male",150680,379
"380","AssocProf","A",11,8,"Male",104121,380
"381","AsstProf","A",8,3,"Male",75996,381
"382","Prof","A",27,23,"Male",172505,382
"383","AssocProf","A",8,5,"Male",86895,383
"384","Prof","A",44,44,"Male",105000,384
"385","Prof","A",27,21,"Male",125192,385
"386","Prof","A",15,9,"Male",114330,386
"387","Prof","A",29,27,"Male",139219,387
"388","Prof","A",29,15,"Male",109305,388
"389","Prof","A",38,36,"Male",119450,389
"390","Prof","A",33,18,"Male",186023,390
"391","Prof","A",40,19,"Male",166605,391
"392","Prof","A",30,19,"Male",151292,392
"393","Prof","A",33,30,"Male",103106,393
"394","Prof","A",31,19,"Male",150564,394
"395","Prof","A",42,25,"Male",101738,395
"396","Prof","A",25,15,"Male",95329,396
"397","AsstProf","A",8,4,"Male",81035,397
